,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
22,RajjKhan,"Jun 27th, 2020 1:02 am",,"Jun 27th, 2020 9:18 am",Apparel,69.98,7,,Browns shoes,Men's Shoes,Browns Sandals - $69.98 + additional 25% off second pair,"https://www.brownsshoes.com/BROWNS/11129919,default,pd.html",2827,-10
23,frozatio,"Jun 26th, 2020 12:57 pm",,"Jun 27th, 2020 9:10 am",,29.99,26,,Apple,Entertainment,"iTunes: The Good Wife, The Complete Series $29.99",http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fitunes.apple.com%2Fca%2Ftv-season%2Fthe-good-wife-the-complete-series%2Fid1352556291,2996,-2
24,Sheff45,"Jun 4th, 2020 1:36 pm",,"Jun 27th, 2020 8:40 am",,329.99,39,,Amazon.ca,Home & Garden,KitchenAid Artisan Series Stand Mixers $329.99 (Amazon),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB005PMEHBG%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,8720,1
25,thirupiran,"Jun 26th, 2020 8:50 pm","July 2, 2020","Jun 27th, 2020 3:25 am",Computers & Electronics,299.99,5,100.00,Best Buy,Peripherals & Accessories,"Samsung 28"" 4K UHD 60Hz 1ms GTG TN LED FreeSync Gaming Monitor",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/samsung-samsung-28-4k-uhd-60hz-1ms-gtg-tn-led-freesync-gaming-monitor-u28e590d-black-titanium-silver-u28e590d/10383477,3164,1
26,absolutcamper,"Jun 20th, 2020 4:59 pm",,"Jun 27th, 2020 3:06 am",,34.99,8,,Urban Fare,Groceries,Urban Fare Wagyu Ribeye $34.99lb (GVA),https://www.flyertown.ca/h/m/urbanfare/weekly/browse?chrome=broadsheet&amp;flyer_run_id=534445&amp;locale=en&amp;type=1,4661,6
27,clementlim,"Jun 20th, 2020 3:14 pm",,"Jun 27th, 2020 2:34 am",Home & Garden,513.30,3,36% off,Home Depot,Home Improvement & Tools,"Bosch GCM12SD Duel-Bevel Glide Miter Saw - 12"" ($513.30)",http://go.redirectingat.com?id=2927x594702&amp;xs=1&amp;url=https%3A%2F%2Fwww.rona.ca%2Fen%2Fbosch-dual-bevel-glide-miter-saw-12-gcm12sd-19835411,2730,5
28,junglebox,"Jun 27th, 2020 12:48 am",,"Jun 27th, 2020 1:32 am",Computers & Electronics,Free,2,100%,,Video Games,Railways! - Free for a limited time,https://apps.apple.com/app/id1492002834,3750,29
29,Abanana,"Jun 26th, 2020 10:17 pm","July 1, 2020","Jun 27th, 2020 1:02 am",Sports & Fitness,5.99,7,,Metro,Other,Nuun electrolyte tablets,https://www.metro.ca/en/flyer,2041,4
0,idiotcanuck,"Jun 25th, 2020 9:54 pm","July 8, 2020","Jun 27th, 2020 12:52 am",Computers & Electronics,349,8,,The Source,Televisions,Sylvania SL581SMU 58” 4K Ultra HD Smart TV $349,http://www.kqzyfj.com/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Ftvs-home-theatre%2Ftelevisions%2Fall-tvs%2Fsylvania-sl581smu-58%25e2%2580%259d-4k-ultra-hd-smart-tv%2Fp%2F108085316&amp;sid=rfdcb,3712,1
1,BeeBee,"Jun 26th, 2020 5:47 pm","June 28, 2020","Jun 27th, 2020 12:11 am",Computers & Electronics,,7,30% off,Altitude Sports,Cameras,30% off member discount on Peak Design,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=42557&amp;murl=https%3A%2F%2Fwww.altitude-sports.com%2Fsearch%2F%3Fq%3DPeak%2520design&amp;u1=rfdcb,2822,9
