,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
1195,Strafe1,2020-06-27 20:12:00,2020-06-29 00:00:00,2020-06-27 20:12:00,Apparel,10.99,0,0.5,Marks Works Wearhouse,Women's Apparel,Women's Jumpstart Canada Day T-Shirt $10.99 + $5 Donation made by Marks to Jumpstart for every Jumpstart T-shirt sold,http://marks.pxf.io/c/341376/505590/8679?u=https%3A%2F%2Fwww.marks.com%2Fen%2Fdenver-hayes-womens-jumpstart-canada-day-t-shirt-303643.html%23303643%255Bcolor%255D%3DCHAR,1420,2
1196,redalot,2020-06-16 19:24:00,,2020-06-27 20:08:00,Computers & Electronics,49.99,6,,Stacksocial,Other,[WARM] StackSocial -The Limited Edition Mac Bundle Ft. iMazingincluding WindScribe(2 years) Unlimited + Other Apps,https://stacksocial.com/sales/the-limited-edition-mac-bundle-imazing?aid=a-ncsw4542&amp;aid=a-3s1yb7xa,2766,1
1197,batuta,2020-06-27 19:42:00,,2020-06-27 19:51:00,Computers & Electronics,57.99,4,,STEAM,Video Games,Red Dead Redemption 2 (PCDD) $57.99,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/,1677,-6
1198,Mrrfdxyz,2020-06-27 19:02:00,2020-06-28 00:00:00,2020-06-27 19:02:00,Computers & Electronics,17.99,0,0.25010421008753647,Costco,Televisions,Wirelogic HDMI 3.6M cable Pack of 2- 17.99$,,1469,1
1199,chemicalxv,2020-06-27 18:15:00,,2020-06-27 18:59:00,Computers & Electronics,15.0,1,,Walmart,Video Games,Hellmut: The Badass from Hell (Switch) - $15 (has $15 TIV at EB Games),https://stocktrack.ca/?s=wm&amp;upc=850007037116,1554,0
1200,SLee,2020-06-27 06:38:00,,2020-06-27 18:34:00,Computers & Electronics,34.99,12,,Amazon.ca,Peripherals & Accessories,Aukey 65W Omnia dual USB-C charger $34.99 after $15 coupon,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB0841VBW8H%2Fref%3Dppx_od_dt_b_asin_title_s00%3Fie%3DUTF8%26th%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,3646,5
1201,seafish,2020-04-12 22:27:00,,2020-06-27 17:38:00,,75.0,287,,Walmart,Sports & Fitness,"26"" Columbia Compax Men's Folding Bike (and others), $75, YMMV",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fcolumbia-compax-26-steel-folding-mountain-bike%2F6000198185143%3Fcmpid%3Daffiliate_rakuten_en_none_none%26utm_source%3Drakuten%26utm_medium%3Daffiliate%26utm_campaign%3Daffiliate_rakuten_en_none_none%26utm_content%3D10%26siteID%3DCAqD7bLWUPI-kYJ4etZ8iCoywxwvaDIohA%26wmlspartner%3DCAqD7bLWUPI&amp;u1=rfdcb,108654,51
1202,Thrillhouse19,2020-06-27 13:01:00,,2020-06-27 17:34:00,,350.0,5,,Superstore,Home & Garden,YMMV YEG Superstore Heritage Weber 210 BBQ LP$350,,2370,2
1203,pulsar123,2020-06-25 13:54:00,,2020-06-27 16:52:00,,49.99,31,0.2857551078725532,Amazon.ca,Computers & Electronics,Logitech Harmony 665 remote for 50$,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB077Q9C8T8%3Ftag%3Dcamelcaalerts-20%26linkCode%3Dogi%26th%3D1%26psc%3D1%26language%3Den_CA&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,6408,16
1204,Mrrfdxyz,2020-06-25 15:21:00,,2020-06-27 16:41:00,Automotive,8.99,20,0.5502751375687843,Princess Auto,Other,440lb (14*18) Mover's Dolly $8.99,,6615,5
